execution_id	timestamp_utc	run_pair_id	git_sha	dirty_flag	executable	build_type	inputs_file	setup_id	restart_from	validation_question	validation_lane	input_scope	temporal_scope	use_wsm6_cpp_answer	microphysics_debug	max_step	stop_time	nprocs	target_column_ij	plot_path	checkpoint_path	log_path	exit_code	execution_status	notes

20260501T220313Z_tagretreat_rule37_qrain_clean_e8f71610_fortran_dbg1	20260501T220313Z	tagretreat_rule37_qrain_step254_clean_e8f71610	e8f716106f602baa14f6882586c95d68a8cb8f6a	clean	/home/jmsexton/codes/ERF/Exec/ERF3d.gnu.TEST.ex	test	inputs_moisture_WSM6	plotfile_parity_v1d	plotfile_parity_v1d/restart_from_fchk_stepwise_200_300/fortran/chk00253	evolved_input_parity	plotfile_parity	evolved_restart_shared_fortran_checkpoint	single_step_253_to_254	0	1	254	90000.0	1	(92,3)	plotfile_parity_v1d/tag_retreat_rule37_qrain_clean_e8f71610_20260501T220313Z/fortran/plt00254	plotfile_parity_v1d/tag_retreat_rule37_qrain_clean_e8f71610_20260501T220313Z/fortran/chk00254	plotfile_parity_v1d/tag_retreat_rule37_qrain_clean_e8f71610_20260501T220313Z/log.fortran_dbg1_rule37	0	success	diag_mode=canonical;diag_target_column=(92,3);rule37_reentry=true;formal_frontier_threshold=1e-15;diagnostic_action_threshold=1e-12;first_formal_tag_from_qr_candidates=MELT;first_formal_group=G7;first_formal_k=2;first_formal_var=t;first_formal_field=6;melt_max_abs=5.684e-14;first_diagnostic_action_tag=QSAT2;first_diagnostic_action_group=G15;first_diagnostic_action_k=30;first_diagnostic_action_var=p;first_diagnostic_action_field=5;qsat2_p_max_abs=7.276e-12;qsat2_consumed_qsatw_max_abs=3.469e-18;pcond_max_abs=4.657e-10;structure_parity_selected_tags=true;embedded_git_hash=e8f71610;plotfile_qrain_max_abs=1.532446127e-10;plotfile_qrain_rel=8.474310297e-04
20260501T220313Z_tagretreat_rule37_qrain_clean_e8f71610_cpp_dbg1	20260501T220313Z	tagretreat_rule37_qrain_step254_clean_e8f71610	e8f716106f602baa14f6882586c95d68a8cb8f6a	clean	/home/jmsexton/codes/ERF/Exec/ERF3d.gnu.TEST.ex	test	inputs_moisture_WSM6	plotfile_parity_v1d	plotfile_parity_v1d/restart_from_fchk_stepwise_200_300/fortran/chk00253	evolved_input_parity	plotfile_parity	evolved_restart_shared_fortran_checkpoint	single_step_253_to_254	1	1	254	90000.0	1	(92,3)	plotfile_parity_v1d/tag_retreat_rule37_qrain_clean_e8f71610_20260501T220313Z/cpp/plt00254	plotfile_parity_v1d/tag_retreat_rule37_qrain_clean_e8f71610_20260501T220313Z/cpp/chk00254	plotfile_parity_v1d/tag_retreat_rule37_qrain_clean_e8f71610_20260501T220313Z/log.cpp_dbg1_rule37	0	success	diag_mode=canonical;diag_target_column=(92,3);rule37_reentry=true;formal_frontier_threshold=1e-15;diagnostic_action_threshold=1e-12;first_formal_tag_from_qr_candidates=MELT;first_formal_group=G7;first_formal_k=2;first_formal_var=t;first_formal_field=6;melt_max_abs=5.684e-14;first_diagnostic_action_tag=QSAT2;first_diagnostic_action_group=G15;first_diagnostic_action_k=30;first_diagnostic_action_var=p;first_diagnostic_action_field=5;qsat2_p_max_abs=7.276e-12;qsat2_consumed_qsatw_max_abs=3.469e-18;pcond_max_abs=4.657e-10;structure_parity_selected_tags=true;embedded_git_hash=e8f71610;plotfile_qrain_max_abs=1.532446127e-10;plotfile_qrain_rel=8.474310297e-04
20260504T144750Z_tagretreat_rule37_thermo_t15_clean_cce1e173_fortran_dbg2	20260504T144750Z	tagretreat_rule37_thermo_t15_step254_clean_cce1e173	cce1e173879a88bd91e519670ae3b4dc76cd3f1b	clean	/home/jmsexton/codes/ERF/Exec/ERF3d.gnu.TEST.ex	test	inputs_moisture_WSM6	plotfile_parity_v1d	plotfile_parity_v1d/restart_from_fchk_stepwise_200_300/fortran/chk00253	evolved_input_parity	plotfile_parity	evolved_restart_shared_fortran_checkpoint	single_step_253_to_254	0	2	254	90000.0	1	(92,3)	plotfile_parity_v1d/tag_retreat_rule37_thermo_t15_clean_cce1e173_20260504T144750Z/fortran/plt00254	plotfile_parity_v1d/tag_retreat_rule37_thermo_t15_clean_cce1e173_20260504T144750Z/fortran/chk00254	plotfile_parity_v1d/tag_retreat_rule37_thermo_t15_clean_cce1e173_20260504T144750Z/log.fortran_dbg2_thermo_t15	0	success	diag_mode=forensic;diag_tags=THERMO_STATE;diag_expr=block_signature;diag_store=standing;diag_target_column=(92,3);probe=THERMO_STATE_Tier1p5;block_id=THERMO_STATE;k_focus=1..4,29..30;thermo_precall_cpp_count=36;thermo_precall_bridge_count=36;thermo_incore_fortran_count=48;precall_cpp_cross_leg_all_zero=true;precall_bridge_vs_precall_cpp_all_zero=true;embedded_git_hash=cce1e173
20260504T144750Z_tagretreat_rule37_thermo_t15_clean_cce1e173_cpp_dbg2	20260504T144750Z	tagretreat_rule37_thermo_t15_step254_clean_cce1e173	cce1e173879a88bd91e519670ae3b4dc76cd3f1b	clean	/home/jmsexton/codes/ERF/Exec/ERF3d.gnu.TEST.ex	test	inputs_moisture_WSM6	plotfile_parity_v1d	plotfile_parity_v1d/restart_from_fchk_stepwise_200_300/fortran/chk00253	evolved_input_parity	plotfile_parity	evolved_restart_shared_fortran_checkpoint	single_step_253_to_254	1	2	254	90000.0	1	(92,3)	plotfile_parity_v1d/tag_retreat_rule37_thermo_t15_clean_cce1e173_20260504T144750Z/cpp/plt00254	plotfile_parity_v1d/tag_retreat_rule37_thermo_t15_clean_cce1e173_20260504T144750Z/cpp/chk00254	plotfile_parity_v1d/tag_retreat_rule37_thermo_t15_clean_cce1e173_20260504T144750Z/log.cpp_dbg2_thermo_t15	0	success	diag_mode=forensic;diag_tags=THERMO_STATE;diag_expr=block_signature;diag_store=standing;diag_target_column=(92,3);probe=THERMO_STATE_Tier1p5;block_id=THERMO_STATE;k_focus=1..4,29..30;thermo_precall_cpp_count=36;thermo_incore_cpp_count=48;incore_fortran_vs_incore_cpp_all_zero=true;constants_exact=true;derived_xl_cpm_explained_by_input_deltas=true;embedded_git_hash=cce1e173
20260504T162959Z_tagretreat_rule37_thermo_pcond_sanity_clean_3df03dd8_fortran_dbg2	20260504T162959Z	tagretreat_rule37_thermo_pcond_sanity_step254_clean_3df03dd8	3df03dd8f22ab2bf44790b57d1ae83efa0df91a8	clean	/home/jmsexton/codes/ERF/Exec/ERF3d.gnu.TEST.ex	test	inputs_moisture_WSM6	plotfile_parity_v1d	plotfile_parity_v1d/restart_from_fchk_stepwise_200_300/fortran/chk00253	evolved_input_parity	plotfile_parity	evolved_restart_shared_fortran_checkpoint	single_step_253_to_254	0	2	254	90000.0	1	(92,3)	plotfile_parity_v1d/tag_retreat_rule37_thermo_pcond_sanity_clean_3df03dd8_20260504T162959Z/fortran/plt00254	plotfile_parity_v1d/tag_retreat_rule37_thermo_pcond_sanity_clean_3df03dd8_20260504T162959Z/fortran/chk00254	plotfile_parity_v1d/tag_retreat_rule37_thermo_pcond_sanity_clean_3df03dd8_20260504T162959Z/log.fortran_dbg2_thermo_pcond_sanity	0	success	diag_mode=both;diag_tags=THERMO_STATE,PCOND;diag_expr=standing;diag_store=standing;diag_target_column=(92,3);probe=THERMO_STATE_plus_PCOND;pcond_field1_max_abs=0;pcond_field5_max_abs=4.6566128730773926e-10;pcond_field5_k_max=3;pcond_cross_delta_unchanged_vs_rule37=true;thermo_precall_cpp_all_zero=true;thermo_bridge_vs_precall_all_zero=true;embedded_git_hash=3df03dd8
20260504T162959Z_tagretreat_rule37_thermo_pcond_sanity_clean_3df03dd8_cpp_dbg2	20260504T162959Z	tagretreat_rule37_thermo_pcond_sanity_step254_clean_3df03dd8	3df03dd8f22ab2bf44790b57d1ae83efa0df91a8	clean	/home/jmsexton/codes/ERF/Exec/ERF3d.gnu.TEST.ex	test	inputs_moisture_WSM6	plotfile_parity_v1d	plotfile_parity_v1d/restart_from_fchk_stepwise_200_300/fortran/chk00253	evolved_input_parity	plotfile_parity	evolved_restart_shared_fortran_checkpoint	single_step_253_to_254	1	2	254	90000.0	1	(92,3)	plotfile_parity_v1d/tag_retreat_rule37_thermo_pcond_sanity_clean_3df03dd8_20260504T162959Z/cpp/plt00254	plotfile_parity_v1d/tag_retreat_rule37_thermo_pcond_sanity_clean_3df03dd8_20260504T162959Z/cpp/chk00254	plotfile_parity_v1d/tag_retreat_rule37_thermo_pcond_sanity_clean_3df03dd8_20260504T162959Z/log.cpp_dbg2_thermo_pcond_sanity	0	success	diag_mode=both;diag_tags=THERMO_STATE,PCOND;diag_expr=standing;diag_store=standing;diag_target_column=(92,3);probe=THERMO_STATE_plus_PCOND;pcond_field1_max_abs=0;pcond_field5_max_abs=4.6566128730773926e-10;pcond_field5_k_max=3;pcond_cross_delta_unchanged_vs_rule37=true;thermo_precall_cpp_all_zero=true;thermo_incore_cpp_all_zero=true;embedded_git_hash=3df03dd8
20260504T173110Z_tagretreat_rule37_qr_state_t15_clean_b2381d93_fortran_dbg2	20260504T173110Z	tagretreat_rule37_qr_state_t15_step254_clean_b2381d93	b2381d935758dd5d0efec9f3700f2ce965a1baec	clean	/home/jmsexton/codes/ERF/Exec/ERF3d.gnu.TEST.ex	test	inputs_moisture_WSM6	plotfile_parity_v1d	plotfile_parity_v1d/restart_from_fchk_stepwise_200_300/fortran/chk00253	evolved_input_parity	plotfile_parity	evolved_restart_shared_fortran_checkpoint	single_step_253_to_254	0	2	254	90000.0	1	(92,3)	plotfile_parity_v1d/tag_retreat_rule37_qr_state_t15_clean_b2381d93_20260504T173110Z/fortran/plt_wsm600254	plotfile_parity_v1d/tag_retreat_rule37_qr_state_t15_clean_b2381d93_20260504T173110Z/fortran/chk_wsm600254	plotfile_parity_v1d/tag_retreat_rule37_qr_state_t15_clean_b2381d93_20260504T173110Z/log.fortran_dbg2_qr_state_t15	0	success	diag_mode=forensic;diag_tags=QR_STATE;diag_expr=block_signature;diag_store=standing;diag_target_column=(92,3);probe=QR_STATE_Tier1p5;block_id=QR_STATE;k_focus=10..20;qr_state_count_fortran=209;qr_state_count_cpp=99;precall_cpp_cross_leg_all_zero=true;precall_bridge_vs_precall_cpp_qr_rho_rhoq4_all_zero=true;incore_fortran_vs_incore_cpp_within_fortran_qr_all_zero=true;post_unpack_duplicate_emit_identical=true;embedded_git_hash=b2381d93
20260504T173110Z_tagretreat_rule37_qr_state_t15_clean_b2381d93_cpp_dbg2	20260504T173110Z	tagretreat_rule37_qr_state_t15_step254_clean_b2381d93	b2381d935758dd5d0efec9f3700f2ce965a1baec	clean	/home/jmsexton/codes/ERF/Exec/ERF3d.gnu.TEST.ex	test	inputs_moisture_WSM6	plotfile_parity_v1d	plotfile_parity_v1d/restart_from_fchk_stepwise_200_300/fortran/chk00253	evolved_input_parity	plotfile_parity	evolved_restart_shared_fortran_checkpoint	single_step_253_to_254	1	2	254	90000.0	1	(92,3)	plotfile_parity_v1d/tag_retreat_rule37_qr_state_t15_clean_b2381d93_20260504T173110Z/cpp/plt_wsm600254	plotfile_parity_v1d/tag_retreat_rule37_qr_state_t15_clean_b2381d93_20260504T173110Z/cpp/chk_wsm600254	plotfile_parity_v1d/tag_retreat_rule37_qr_state_t15_clean_b2381d93_20260504T173110Z/log.cpp_dbg2_qr_state_t15	0	success	diag_mode=forensic;diag_tags=QR_STATE;diag_expr=block_signature;diag_store=standing;diag_target_column=(92,3);probe=QR_STATE_Tier1p5;block_id=QR_STATE;k_focus=10..20;precall_cpp_cross_leg_all_zero=true;qr_incore_cross_leg_first_nonzero_abs=2.0544742076467353e-17;qr_incore_cross_leg_first_nonzero_kdbg=11;qr_incore_cross_leg_max_abs=1.5324461268677676e-10;qr_incore_cross_leg_max_kdbg=18;qrain_persistent_post_cross_leg_max_abs=1.5324461268677676e-10;qrain_persistent_post_band_kdbg=11..20;rho_cross_leg_all_zero=true;embedded_git_hash=b2381d93
20260504T215353Z_tagretreat_rule37_qr_update_inputs_t15_clean_c3781446_fortran_dbg2	20260504T215353Z	tagretreat_rule37_qr_update_inputs_t15_step254_clean_c3781446	c3781446b7e8e0c75c014c4cc779af0446362532	clean	/home/jmsexton/codes/ERF/Exec/ERF3d.gnu.TEST.ex	test	inputs_moisture_WSM6	plotfile_parity_v1d	plotfile_parity_v1d/restart_from_fchk_stepwise_200_300/fortran/chk00253	evolved_input_parity	plotfile_parity	evolved_restart_shared_fortran_checkpoint	single_step_253_to_254	0	2	254	90000.0	1	(92,3)	NA	chk_wsm600254	plotfile_parity_v1d/tag_retreat_rule37_qr_update_inputs_t15_clean_c3781446_20260504T215353Z/log.fortran_dbg2_qr_update_inputs_t15	0	success	diag_mode=forensic;diag_tags=QR_UPDATE_INPUTS;diag_expr=block_signature;diag_store=standing;diag_target_column=(92,3);probe=QR_UPDATE_INPUTS_Tier1p5;block_id=FINAL_QR_UPDATE;k_focus=10..20;filtered_capture=banner_and_qr_update_inputs_only;qr_update_inputs_count=121;embedded_git_hash=c3781446;gfortran_unbuffered_all=y
20260504T215353Z_tagretreat_rule37_qr_update_inputs_t15_clean_c3781446_cpp_dbg2	20260504T215353Z	tagretreat_rule37_qr_update_inputs_t15_step254_clean_c3781446	c3781446b7e8e0c75c014c4cc779af0446362532	clean	/home/jmsexton/codes/ERF/Exec/ERF3d.gnu.TEST.ex	test	inputs_moisture_WSM6	plotfile_parity_v1d	plotfile_parity_v1d/restart_from_fchk_stepwise_200_300/fortran/chk00253	evolved_input_parity	plotfile_parity	evolved_restart_shared_fortran_checkpoint	single_step_253_to_254	1	2	254	90000.0	1	(92,3)	NA	chk_wsm600254	plotfile_parity_v1d/tag_retreat_rule37_qr_update_inputs_t15_clean_c3781446_20260504T215353Z/log.cpp_dbg2_qr_update_inputs_t15	0	success	diag_mode=forensic;diag_tags=QR_UPDATE_INPUTS;diag_expr=block_signature;diag_store=standing;diag_target_column=(92,3);probe=QR_UPDATE_INPUTS_Tier1p5;block_id=FINAL_QR_UPDATE;k_focus=10..20;filtered_capture=banner_and_qr_update_inputs_only;qr_update_inputs_count=121;embedded_git_hash=c3781446
20260505T113240Z_tagretreat_rule37_qr_producer_g5d_t15_clean_a96d21fe_fortran_dbg2	20260505T113240Z	tagretreat_rule37_qr_producer_g5d_t15_step254_clean_a96d21fe	a96d21fe57368c6b0e2812b349beba5c24bdf357	clean	/home/jmsexton/codes/ERF/Exec/ERF3d.gnu.TEST.ex	test	inputs_moisture_WSM6	plotfile_parity_v1d	plotfile_parity_v1d/restart_from_fchk_stepwise_200_300/fortran/chk00253	evolved_input_parity	plotfile_parity	evolved_restart_shared_fortran_checkpoint	single_step_253_to_254	0	2	254	90000.0	1	(92,3)	NA	plotfile_parity_v1d/tag_retreat_rule37_qr_producer_g5d_t15_clean_a96d21fe_20260505T113240Z/fortran/chk_wsm600254	plotfile_parity_v1d/tag_retreat_rule37_qr_producer_g5d_t15_clean_a96d21fe_20260505T113240Z/log.fortran_dbg2_qr_producer_g5d_t15	0	success	diag_mode=forensic;diag_tags=QR_PRODUCER_BOUNDARY;diag_expr=block_signature;diag_store=standing;diag_target_column=(92,3);probe=QR_PRODUCER_BOUNDARY_Tier1p5;block_id=G5d_RAIN_SEDIMENTATION_WRITEBACK;k_focus=10..20;filtered_capture=banner_and_qr_producer_boundary_only;qr_producer_count=44;structure_count_parity=true;schema_index_parity=true;qr_before_block_all_zero=true;den_all_zero=true;denqrs1_first_nonzero_abs=3.270094297873264458e-21;denqrs1_max_abs=1.363653478582691092e-10;denqrs1_max_kdbg=18;qr_after_block_max_abs=1.530937472959373667e-10;qr_after_block_max_kdbg=18;embedded_git_hash=a96d21fe;gfortran_unbuffered_all=y
20260505T113240Z_tagretreat_rule37_qr_producer_g5d_t15_clean_a96d21fe_cpp_dbg2	20260505T113240Z	tagretreat_rule37_qr_producer_g5d_t15_step254_clean_a96d21fe	a96d21fe57368c6b0e2812b349beba5c24bdf357	clean	/home/jmsexton/codes/ERF/Exec/ERF3d.gnu.TEST.ex	test	inputs_moisture_WSM6	plotfile_parity_v1d	plotfile_parity_v1d/restart_from_fchk_stepwise_200_300/fortran/chk00253	evolved_input_parity	plotfile_parity	evolved_restart_shared_fortran_checkpoint	single_step_253_to_254	1	2	254	90000.0	1	(92,3)	NA	plotfile_parity_v1d/tag_retreat_rule37_qr_producer_g5d_t15_clean_a96d21fe_20260505T113240Z/cpp/chk_wsm600254	plotfile_parity_v1d/tag_retreat_rule37_qr_producer_g5d_t15_clean_a96d21fe_20260505T113240Z/log.cpp_dbg2_qr_producer_g5d_t15	0	success	diag_mode=forensic;diag_tags=QR_PRODUCER_BOUNDARY;diag_expr=block_signature;diag_store=standing;diag_target_column=(92,3);probe=QR_PRODUCER_BOUNDARY_Tier1p5;block_id=G5d_RAIN_SEDIMENTATION_WRITEBACK;k_focus=10..20;filtered_capture=banner_and_qr_producer_boundary_only;qr_producer_count=44;structure_count_parity=true;schema_index_parity=true;qr_before_block_all_zero=true;den_all_zero=true;denqrs1_first_nonzero_abs=3.270094297873264458e-21;denqrs1_max_abs=1.363653478582691092e-10;denqrs1_max_kdbg=18;qr_after_block_max_abs=1.530937472959373667e-10;qr_after_block_max_kdbg=18;embedded_git_hash=a96d21fe
